Temperature (°C),Humidity (%),Moisture (%),Soil Type,Crop Type,Nitrogen (ppm),Phosphorus (ppm),Potassium (ppm),pH,Rainfall (mm),Pest Level,Recommended Fertilizer,Dosage (kg/acre),Apply_After_Days,Expected Yield (q/ha)
30.7,81,50,Black,Maize,110,37,62,6.6,138,Low,Urea,67.2,11,103.7
29.4,52,21,Clayey,Wheat,148,79,78,7.5,324,Medium,DAP,66.3,9,95.6
29.2,71,58,Loamy,Soybean,97,32,49,7.7,312,Low,Potash,42.1,16,104.2
25.5,67,45,Black,Soybean,144,51,30,7.0,282,High,MOP,54.7,16,73.7
26.2,41,64,Sandy,Rice,151,30,61,7.3,338,Low,DAP,69.3,16,82.9
20.8,48,44,Red,Sugarcane,159,66,37,5.7,94,Low,10-26-26,28.8,33,91.7
22.6,71,47,Clayey,Rice,60,76,38,7.7,299,Low,Urea,73.3,15,105.9
21.2,50,52,Clayey,Groundnut,75,75,72,7.0,216,High,14-35-14,46.1,9,89.2
22.6,64,50,Clayey,Pulses,138,44,74,5.4,313,Low,DAP,54.8,15,104.3
20.4,78,47,Black,Wheat,136,33,41,6.5,260,Medium,DAP,57.7,10,75.9
29.6,59,30,Loamy,Cotton,90,44,75,7.3,349,High,NPK,76.2,21,88.0
27.4,60,67,Loamy,Wheat,90,54,71,5.8,236,Low,DAP,52.3,11,94.9
31.2,60,70,Loamy,Wheat,59,72,95,5.3,212,High,DAP,75.0,14,65.1
34.5,37,50,Loamy,Maize,160,38,78,6.2,148,High,NPK,54.7,14,73.3
30.6,60,22,Loamy,Rice,113,53,49,5.8,293,Medium,Urea,77.4,15,80.4
38.0,73,67,Black,Maize,57,68,97,5.7,167,Low,Urea,65.3,18,81.0
22.6,51,37,Clayey,Groundnut,153,32,78,6.5,208,Low,14-35-14,40.2,17,111.7
34.6,78,43,Loamy,Maize,90,20,30,7.6,117,Medium,NPK,56.8,12,85.8
34.1,84,44,Clayey,Cotton,148,66,38,6.2,134,High,NPK,61.3,23,90.4
29.8,60,22,Clayey,Sugarcane,82,29,39,5.9,77,Medium,Urea,61.8,22,91.2
27.9,41,39,Black,Rice,109,34,49,7.4,234,High,NPK,60.7,15,60.3
35.1,39,33,Black,Groundnut,138,31,74,7.1,327,High,DAP,80.4,19,69.7
31.3,73,20,Loamy,Wheat,58,76,59,6.2,279,High,DAP,74.8,16,82.6
34.8,80,48,Loamy,Cotton,113,58,73,6.1,279,Low,NPK,47.6,21,92.7
24.6,50,39,Clayey,Rice,66,57,36,5.4,342,Medium,Urea,93.4,10,78.7
32.8,46,33,Sandy,Wheat,142,71,30,6.2,270,Medium,Urea,80.0,12,73.9
24.0,61,35,Black,Sugarcane,135,34,43,6.2,77,Low,Urea,56.2,22,95.8
30.9,88,62,Red,Maize,78,54,41,7.7,177,Medium,DAP,61.2,16,88.0
24.6,47,48,Clayey,Tomato,108,69,63,6.2,316,Low,Potash,38.2,24,83.5
30.4,70,46,Clayey,Groundnut,116,38,68,7.8,233,Low,14-35-14,42.2,11,80.3
20.9,62,63,Black,Cotton,148,48,45,6.4,250,Low,Potash,37.5,34,84.3
20.5,66,57,Black,Cotton,54,26,37,6.1,317,Low,Potash,44.1,27,90.4
32.6,56,57,Red,Rice,62,27,88,5.7,154,High,Urea,81.1,17,59.9
30.0,90,52,Loamy,Pulses,69,38,53,7.7,63,Medium,14-35-14,39.1,8,74.0
29.6,75,38,Red,Cotton,91,38,79,6.0,322,Low,Potash,41.4,23,87.7
20.0,89,55,Sandy,Pulses,67,31,85,6.6,83,Medium,DAP,44.3,14,86.5
28.1,83,47,Loamy,Groundnut,83,27,45,7.0,129,Medium,MOP,41.9,11,76.2
36.2,69,44,Sandy,Wheat,126,79,69,5.3,84,High,Urea,61.6,13,80.7
25.6,55,62,Red,Rice,118,60,48,6.5,113,Medium,Urea,59.1,20,82.4
21.1,65,20,Clayey,Wheat,59,23,80,5.7,254,High,DAP,68.6,10,79.4
24.1,57,62,Black,Sugarcane,125,27,96,6.0,58,Low,Urea,48.1,24,89.1
30.9,35,48,Red,Soybean,73,49,42,5.5,250,Medium,14-35-14,57.7,18,66.7
34.0,85,49,Red,Cotton,145,42,71,5.3,204,Low,Potash,34.9,32,107.9
21.0,85,58,Black,Rice,157,53,70,7.1,55,Low,NPK,30.0,11,90.4
33.8,39,26,Loamy,Tomato,140,37,55,7.2,151,Medium,10-26-26,41.7,20,71.5
22.8,54,65,Clayey,Wheat,100,55,52,6.8,252,Medium,DAP,57.3,9,87.1
29.5,68,56,Sandy,Cotton,94,45,30,5.5,166,High,Potash,46.5,27,77.6
30.9,65,52,Red,Wheat,114,71,97,7.6,156,High,NPK,57.0,8,89.7
20.6,55,20,Clayey,Cotton,82,46,54,6.6,78,High,NPK,48.9,33,64.7
37.4,47,51,Clayey,Cotton,132,47,76,6.7,171,High,NPK,55.4,24,81.3
32.4,66,63,Clayey,Rice,124,35,63,8.0,61,High,Urea,72.8,20,89.3
27.2,82,25,Red,Cotton,117,49,48,5.5,324,Medium,Potash,47.4,22,107.8
23.7,58,42,Red,Rice,61,74,51,6.2,61,High,Urea,63.5,12,69.1
32.3,89,35,Red,Tomato,99,27,65,7.7,85,Low,NPK,39.6,24,85.5
25.7,83,61,Clayey,Wheat,93,24,49,6.8,172,Low,DAP,50.2,14,92.3
31.9,45,47,Red,Cotton,88,64,66,7.5,77,Low,Potash,26.1,34,97.2
35.6,71,66,Black,Pulses,52,61,79,7.7,62,Medium,10-26-26,39.0,12,102.1
33.7,64,33,Clayey,Tomato,92,20,53,7.6,240,High,Potash,55.2,32,62.8
23.6,75,50,Sandy,Pulses,105,63,86,7.7,325,Medium,DAP,62.3,9,107.5
22.7,77,67,Black,Pulses,156,74,60,6.4,209,Low,10-26-26,33.9,8,80.4
24.7,44,37,Black,Sugarcane,108,27,87,6.9,203,Low,Urea,64.2,20,96.0
32.6,77,23,Clayey,Groundnut,70,27,61,5.4,54,High,14-35-14,43.9,17,87.7
31.6,70,25,Sandy,Rice,90,40,51,7.9,161,Medium,DAP,63.0,19,99.8
21.7,63,56,Sandy,Cotton,153,52,36,7.6,319,Low,Potash,35.1,21,100.2
21.7,36,54,Sandy,Pulses,150,44,33,6.6,203,Low,DAP,56.7,14,69.0
34.5,50,63,Loamy,Pulses,74,29,99,7.9,201,High,14-35-14,55.6,9,90.0
35.6,65,59,Red,Soybean,134,78,33,7.1,111,High,14-35-14,52.2,15,70.3
33.6,47,42,Red,Tomato,160,65,54,5.5,313,Medium,NPK,56.5,25,95.8
26.7,69,43,Clayey,Wheat,70,34,36,7.2,226,Low,DAP,63.1,17,90.2
21.8,47,45,Red,Sugarcane,114,71,72,6.1,182,Medium,10-26-26,39.4,30,95.8
24.6,48,34,Clayey,Tomato,56,51,64,6.4,275,Low,Potash,39.7,35,73.4
30.0,78,51,Black,Sugarcane,96,76,81,7.8,181,High,Urea,75.3,24,72.9
22.6,87,54,Red,Soybean,109,59,96,7.3,280,Low,14-35-14,44.7,15,96.7
21.9,38,46,Black,Tomato,132,70,100,7.3,318,High,NPK,63.5,35,63.6
30.2,52,24,Black,Soybean,146,29,71,8.0,228,Low,MOP,34.5,17,113.5
32.9,61,35,Black,Pulses,90,48,96,5.8,113,Low,10-26-26,34.0,19,109.7
25.7,43,20,Red,Pulses,78,23,64,6.1,59,Medium,MOP,30.7,14,82.4
23.2,42,51,Loamy,Soybean,73,27,79,6.4,94,Low,Potash,29.5,8,80.4
22.7,68,68,Clayey,Soybean,160,38,96,6.8,349,Medium,MOP,44.9,13,84.8
22.6,83,53,Black,Rice,78,52,59,6.3,292,High,NPK,69.5,9,72.1
36.0,84,53,Red,Groundnut,90,22,64,5.9,255,Low,Urea,88.2,17,96.5
22.9,85,26,Loamy,Groundnut,102,64,99,8.0,182,High,MOP,35.6,10,82.5
34.3,45,27,Black,Cotton,66,36,68,7.4,217,Low,Potash,38.2,28,75.6
37.4,76,51,Loamy,Maize,160,70,64,6.9,94,High,NPK,51.6,15,93.8
32.3,50,51,Clayey,Soybean,119,79,67,6.9,173,High,MOP,45.3,7,84.3
23.6,82,21,Black,Cotton,56,73,31,7.7,103,Medium,Potash,34.9,33,102.3
28.0,39,24,Sandy,Rice,58,48,99,6.0,299,Medium,DAP,75.0,12,79.2
24.6,74,46,Red,Sugarcane,159,22,37,5.4,337,Medium,10-26-26,56.1,22,96.3
31.3,88,54,Black,Maize,76,65,31,6.8,86,Low,Urea,62.4,15,76.1
30.3,57,42,Red,Rice,146,62,47,7.5,124,Low,Urea,61.7,8,108.5
30.5,75,43,Black,Sugarcane,95,53,55,6.6,71,Medium,Urea,57.8,22,101.7
22.5,78,31,Sandy,Tomato,57,60,99,5.4,253,Medium,NPK,56.6,23,101.0
31.8,87,26,Sandy,Soybean,99,58,75,5.8,152,Low,14-35-14,38.5,12,104.8
35.5,87,39,Loamy,Tomato,70,56,47,7.3,334,High,10-26-26,69.2,21,83.8
32.9,76,33,Red,Rice,55,71,72,6.1,179,Low,Urea,63.2,17,93.1
37.8,62,30,Sandy,Rice,160,31,32,6.5,52,Low,DAP,45.9,12,100.4
30.3,60,62,Sandy,Tomato,72,36,59,5.3,53,Medium,NPK,46.2,24,74.8
28.3,65,46,Loamy,Pulses,153,62,55,7.9,282,Low,14-35-14,41.1,18,109.8
32.3,78,22,Clayey,Maize,129,42,58,8.2,182,High,10-26-26,47.2,20,69.9
26.5,90,33,Clayey,Rice,133,23,60,6.6,336,High,Urea,108.3,19,82.4
36.0,39,67,Black,Maize,85,62,87,7.6,345,Low,Urea,78.6,11,74.7
23.1,80,53,Black,Groundnut,148,57,49,7.5,152,Medium,DAP,48.3,7,99.7
23.3,83,62,Sandy,Sugarcane,134,63,83,7.5,216,High,Urea,69.4,32,98.0
28.1,66,56,Loamy,Rice,148,40,86,7.6,292,Low,Urea,66.3,20,95.4
22.3,50,60,Clayey,Soybean,125,31,61,6.5,325,Low,MOP,37.3,7,98.1
23.5,85,55,Sandy,Rice,71,60,78,6.7,57,High,DAP,49.6,20,81.1
26.0,68,25,Black,Sugarcane,157,46,41,7.0,210,High,Urea,86.8,20,73.7
34.0,68,61,Red,Pulses,158,65,67,6.0,255,Low,MOP,39.3,15,88.3
36.0,81,59,Black,Pulses,58,22,33,7.8,247,Low,10-26-26,55.8,7,84.7
37.2,45,20,Clayey,Sugarcane,143,80,93,8.0,264,Low,Urea,64.7,32,83.2
23.9,84,25,Clayey,Pulses,69,27,32,7.6,306,High,DAP,92.4,20,75.3
29.8,47,32,Clayey,Soybean,104,30,91,7.7,142,Low,MOP,35.2,15,87.5
36.9,73,48,Red,Pulses,117,20,91,8.0,284,Medium,MOP,45.2,18,94.3
20.8,66,65,Loamy,Tomato,88,22,96,6.9,112,Medium,10-26-26,33.9,25,104.8
26.3,89,41,Red,Tomato,118,38,69,6.3,296,High,NPK,64.0,29,65.5
37.5,66,45,Red,Pulses,133,30,38,7.5,247,Medium,MOP,49.7,7,99.3
30.7,55,40,Red,Sugarcane,144,39,87,6.0,238,Low,10-26-26,36.5,27,85.8
21.0,60,46,Red,Tomato,98,49,65,6.3,308,Medium,NPK,57.0,24,103.4
36.4,35,59,Red,Maize,72,58,95,5.5,153,High,DAP,71.4,19,71.6
25.4,54,47,Black,Wheat,51,78,30,7.2,340,High,DAP,95.2,10,83.3
32.5,90,69,Red,Cotton,126,35,72,6.5,96,High,Potash,33.4,23,85.0
27.7,44,58,Red,Sugarcane,84,80,43,7.3,223,High,10-26-26,53.7,22,59.6
25.1,85,46,Red,Groundnut,122,29,100,6.4,109,Low,Urea,55.3,15,98.5
29.4,50,38,Black,Wheat,109,49,86,5.4,156,Medium,DAP,56.7,7,92.7
23.1,72,60,Loamy,Soybean,92,69,93,7.3,311,Medium,Potash,37.3,8,84.3
21.9,35,41,Black,Tomato,123,29,70,7.8,112,Low,NPK,39.8,24,86.2
25.3,56,60,Loamy,Maize,116,38,64,6.7,246,High,NPK,66.2,7,94.2
32.1,45,48,Clayey,Wheat,86,20,95,6.6,104,Medium,DAP,58.9,11,69.1
26.2,69,21,Red,Maize,148,22,34,8.1,198,High,DAP,70.1,8,67.8
25.7,52,28,Sandy,Soybean,114,41,52,7.8,297,Medium,14-35-14,50.3,15,94.7
30.7,72,30,Black,Tomato,99,56,67,7.3,250,High,NPK,67.7,26,91.3
21.1,76,56,Clayey,Pulses,125,25,35,5.4,312,Low,DAP,66.0,12,77.5
24.9,79,67,Red,Soybean,153,73,86,5.2,311,Medium,14-35-14,47.6,17,117.5
33.2,81,48,Black,Pulses,90,46,49,7.1,277,Low,10-26-26,42.7,7,75.0
36.9,63,29,Clayey,Pulses,137,23,39,5.9,174,Low,DAP,55.1,15,100.1
36.1,90,43,Red,Pulses,106,67,57,6.1,344,Medium,MOP,51.8,12,95.8
34.4,49,54,Red,Cotton,116,51,42,5.7,289,Medium,Potash,48.7,21,76.1
23.7,76,39,Red,Cotton,158,65,98,6.4,65,Low,Potash,23.0,21,84.9
31.4,62,44,Black,Tomato,108,72,73,7.9,181,Medium,NPK,44.7,21,96.9
35.8,66,21,Loamy,Soybean,92,56,36,7.6,217,High,Potash,51.6,7,68.4
27.1,48,56,Clayey,Maize,57,74,68,7.4,102,Low,10-26-26,30.2,12,92.2
30.7,42,37,Sandy,Tomato,135,52,45,5.5,176,Low,NPK,48.8,29,81.4
23.6,42,39,Sandy,Groundnut,116,49,39,5.5,79,Medium,MOP,33.4,10,75.5
30.6,68,61,Black,Soybean,126,72,31,6.2,259,Low,MOP,39.1,20,93.5
31.5,57,38,Black,Sugarcane,64,29,64,6.8,193,Medium,Urea,80.3,22,75.2
34.3,46,64,Loamy,Groundnut,135,30,99,7.4,337,Low,MOP,42.1,10,90.8
24.7,80,46,Black,Groundnut,97,59,37,6.7,301,High,DAP,72.5,18,92.9
27.4,66,67,Loamy,Maize,68,51,37,7.0,184,Low,NPK,50.3,17,103.6
35.3,39,33,Red,Soybean,155,27,59,6.2,125,High,14-35-14,48.6,7,74.0
22.5,82,37,Clayey,Maize,129,49,96,6.0,243,Medium,10-26-26,42.4,10,94.2
38.0,40,58,Sandy,Cotton,61,67,79,5.4,330,Medium,Potash,47.5,31,98.4
24.6,41,42,Sandy,Cotton,62,70,52,6.0,346,Medium,Potash,49.0,35,73.7
24.6,54,53,Clayey,Pulses,124,78,77,6.7,164,High,DAP,54.6,13,77.6
34.9,51,25,Clayey,Groundnut,78,47,34,6.6,232,High,14-35-14,62.6,13,66.8
23.2,37,57,Loamy,Cotton,160,50,31,6.7,226,Low,NPK,49.5,24,78.4
37.5,59,29,Loamy,Groundnut,71,66,32,6.8,55,Medium,MOP,39.6,8,76.5
34.3,63,53,Black,Groundnut,102,38,86,7.9,160,High,DAP,73.0,14,83.3
22.1,79,20,Sandy,Tomato,134,36,97,7.0,257,Low,NPK,48.2,32,86.9
23.8,51,43,Loamy,Maize,144,70,84,5.9,329,High,NPK,65.1,7,84.3
35.5,86,27,Black,Cotton,78,70,94,7.1,199,High,Potash,45.8,28,93.4
23.1,52,31,Clayey,Maize,144,62,31,5.7,314,High,10-26-26,59.4,13,88.7
33.1,54,37,Sandy,Soybean,59,57,49,6.4,321,High,14-35-14,74.0,7,67.5
33.8,83,59,Black,Cotton,118,68,48,5.9,190,Low,Potash,33.9,31,89.7
23.1,61,65,Red,Cotton,90,80,61,7.9,156,Low,Potash,30.2,30,79.3
37.3,87,52,Loamy,Groundnut,143,49,76,6.1,195,Low,MOP,39.5,12,82.5
36.4,75,56,Loamy,Groundnut,107,51,91,7.6,126,High,MOP,41.2,19,83.5
33.1,70,40,Red,Maize,57,57,32,7.7,350,High,DAP,94.3,11,67.5
30.8,64,57,Red,Groundnut,135,61,52,8.1,60,Low,Urea,51.9,13,96.8
22.8,77,64,Black,Maize,92,37,63,7.2,55,High,Urea,65.8,17,78.3
24.6,85,42,Clayey,Soybean,66,75,100,7.9,244,Low,MOP,33.4,8,109.9
27.4,80,40,Sandy,Pulses,130,66,58,8.0,203,Low,DAP,48.0,16,109.5
30.8,45,51,Sandy,Sugarcane,102,77,62,6.3,305,High,Urea,85.9,22,68.3
29.8,35,59,Sandy,Sugarcane,101,23,61,5.9,77,Low,Urea,57.7,23,67.2
29.1,39,32,Red,Pulses,135,64,74,7.8,235,Low,MOP,33.7,15,104.5
24.4,60,69,Red,Wheat,51,76,55,7.1,114,Low,NPK,40.7,12,93.1
27.2,49,64,Red,Sugarcane,74,50,35,8.0,205,Low,10-26-26,44.4,28,78.6
37.2,85,23,Red,Maize,89,36,81,7.7,342,Low,DAP,75.1,15,75.0
29.6,72,36,Clayey,Groundnut,52,24,40,7.0,305,High,14-35-14,71.2,14,79.2
37.2,60,70,Sandy,Maize,107,64,46,7.2,203,High,NPK,59.7,17,90.8
36.8,43,35,Red,Soybean,106,69,60,5.4,235,Medium,14-35-14,51.7,7,95.9
24.2,44,38,Red,Pulses,97,57,66,6.6,323,Medium,MOP,40.5,11,75.8
30.2,62,40,Sandy,Tomato,120,43,61,6.4,191,Medium,NPK,48.4,20,78.8
22.7,81,58,Loamy,Tomato,60,30,57,7.9,54,Low,10-26-26,33.0,31,75.8
37.0,75,49,Loamy,Pulses,155,53,60,7.8,280,Low,14-35-14,49.3,15,111.5
31.9,85,43,Black,Cotton,80,38,74,5.7,87,Low,Potash,30.1,29,83.7
35.7,59,51,Loamy,Tomato,92,63,81,7.1,289,Low,10-26-26,45.2,35,105.9
24.2,37,47,Loamy,Cotton,85,75,50,6.4,71,High,NPK,44.1,23,63.1
25.1,66,59,Black,Maize,111,61,91,6.5,122,Low,Urea,55.9,19,87.9
23.3,67,47,Loamy,Groundnut,121,78,93,6.8,180,High,MOP,40.3,12,76.5
30.9,51,53,Red,Maize,88,42,45,5.5,262,Medium,DAP,70.1,7,87.5
20.6,78,32,Sandy,Groundnut,158,58,76,8.1,130,Low,MOP,28.9,10,117.2
32.2,36,33,Red,Pulses,145,24,74,5.3,138,Medium,MOP,36.5,14,79.5
35.7,39,47,Sandy,Soybean,148,66,71,7.3,217,Medium,14-35-14,46.1,14,78.9
36.4,66,52,Clayey,Sugarcane,119,48,64,6.7,297,Medium,Urea,94.1,30,103.1
33.1,88,44,Loamy,Cotton,155,49,79,6.1,174,High,NPK,58.1,29,80.0
22.9,41,43,Sandy,Sugarcane,61,33,87,7.6,96,High,Urea,64.9,20,72.2
37.1,49,45,Sandy,Rice,98,66,38,6.3,299,High,DAP,82.1,8,60.1
27.0,58,21,Loamy,Wheat,87,32,63,6.6,299,High,DAP,81.9,14,84.0
30.6,66,63,Red,Cotton,160,42,53,6.0,205,Medium,Potash,36.9,32,104.9
27.1,45,25,Clayey,Wheat,86,37,58,6.2,177,High,DAP,70.9,17,71.7
37.4,47,40,Loamy,Rice,104,42,99,5.9,55,Low,Urea,53.0,13,90.5
31.7,86,59,Clayey,Cotton,66,38,46,6.0,330,Low,NPK,63.0,26,82.9
28.2,69,47,Sandy,Sugarcane,59,44,78,8.2,158,High,Urea,86.4,30,81.7
